35650               ,FORKLIFT PSN WAREHOUSE                  
36BRP01BG01         ,"BEARING, R / PRESS, 1.1 (MOVABLE - DE)  "
36BRP01BG02         ,"BEARING, R / PRESS, 1.2 (MOVABLE - NDE) "
36BRP01CO01         ,"COUPLING, FLUID RP - MOVABLE SIDE       "
36BRP01CY01         ,"CYLINDER, FLAT, 1 ROLLER PRESS, DE      "
36BRP01CY02         ,"CYLINDER, FLAT, 2 ROLLER PRESS, NDE     "
36BRP01GB01         ,GEARBOX1 MAAG MOVABLE                   
36BRP01HY01         ,"HYD. UNIT, L/STONE RP HYD. OIL PUMP     "
36BRP01LQ01         ,"LUBRICATION, PUMP, GREASE L/S RP        "
36BRP01LUB1         ,"PUMP, OIL, LUBRICATION, 1 L/STONE RP    "
36BRP01RO01         ,ROLLER(STATIONARY)                      
36BRP02BG01         ,"BEARING, R / PRESS, STAT. SIDE RP, DE   "
36BRP02BG02         ,"BEARING, R / PRESS, STATSIDE RP, NDE    "
36BRP02CO02         ,"COUPLING, FLUID FOR CONE CRUSHER        "
36BRP02GB01         ,"GEARBOX1 MAAG GEARBOX, STATIONARY       "
36BRP02LUB2         ,"PUMP, LUBRICATION, 2 STATIONARY SIDE    "
36BRP02RO02         ,ROLLER(MOVABLE)                         
37ABE01CO01         ,"COUPLING, FLUID FOR 37ABE01 BUCKET      "
41BBE01CO01         ,FLUID COUPLING 41BBE01                  
42BEP01RG1          ,RAPPING GEAR 1 42BEP01                  
42BEP01RG2          ,RAPPING GEAR 2 42BEP01                  
42BEP01RG3          ,RAPPING GEAR 3 42BEP01                  
42BEP01RG4          ,RAPPING GEAR 4 42BEP01                  
42BEP01RG5          ,RAPPING GEAR 5 42BEP01                  
42BEP01RG6          ,RAPPING GEAR 6 42BEP01                  
42BEPCOPL01         ,CONTROL PANEL EP 42BEP01                
42BEPTR01           ,DC TRANSFORMER FOR 42BEP                
42CEPCOPL1          ,EP CONTROL PANEL FOR 42CEP01            
42CEPTR01           ,DC TRANSFORMER FOR 42CEP01              
450LQ01SV1          ,"VALVE, SOLENOID, 1 KILN GREASE SPRAY    "
450LQ01SV2          ,"VALVE, SOLENOID, 2 KILN GREASE SPRAY    "
450LQ02SV1          ,"VALVE, SOLENOID INLET SEAL LUBRICATION  "
450OM01MO1          ,"MOTOR KL OIL PUMP COOLING UNIT1,450KL105"
450OM02MO1          ,"MOTOR KL OIL PUMP COOLING UNIT2,450KL106"
450OM03MO1          ,"MOTOR KL OIL PUMP COOLING UNIT3,450KL107"
450OM04MO1          ,"MOTOR KL OIL PUMP COOLING UNIT4,450KL108"
450OM05MO1          ,"MOTOR KL OIL PUMP COOLING UNIT5,450KL109"
450OM06MO1          ,"MOTOR KL OILPUMP COOLING UNIT6,450KL1010"
450OM07MO1          ,MOTOR KILN GEARBOX OIL PUMP 1           
450OM08MO1          ,"MOTOR KILN GEARBOX OIL PUMP 2, 450KL112 "
460BF06MO1          ,"MOTOR 460BF1 RF, 0.4KW,1420RPM,415V,IP54"
460BF2M01           ,Exaust Fan For 460BF02                  
460BF2M02           ,Rotary Feeder fot 460PP01               
470DA01MO1          ,"MOTOR 470DA01 COOLER FAN 1 DAMPER, 0.4KW"
470DA02MO1          ,"MOTOR COOLER FAN 2 DAMPER, 0.75KW       "
470DA03MO1          ,"MOTOR 470DA03 COOLER FAN 3 DAMPER, 0.4KW"
470DA04MO1          ,"MOTOR COOLER FAN 4 DAMPER, 0.4KW        "
470DA05MO1          ,"MOTOR 470DA05 COOLER FAN 5 DAMPER, 0.4KW"
470DA06MO1          ,MOTOR 470DA06 COOLER FAN 6 DAMPER       
470DA07MO1          ,"MTR 470DA7 EP FN DMPR, 470FN07020, 1.5KW"
471EPCOPL01         ,EP CONTROL PANEL FOR 471EP01            
471EPTR01           ,DC TRANSFORMER CHAMBER #1               
471EPTR02           ,DC TRANSFORMER CHAMBER #2               
471EPTR03           ,DC TRANSFORMER CHAMBER #3               
471HCRO01           ,ROTOR HAMMER 471HC01                    
491BECO01           ,FLUID COUPLING 491BE01                  
491BECO02           ,FLUID COUPLING 491BE02                  
491BUCK01           ,BUCKET COMPONENT 491BE01                
491BUCK02           ,BUCKET COMPONENT 491BE02                
491CVCOMP01         ,CONVEYOR COMPONENT 491CV01              
545BM01OM3          ,"PUMP, OIL, HIGH PRESS CM3 INLET, M03    "
545BM01OM4          ,"PUMP, OIL, HIGH PRESS CM3 OUTLET, M04   "
545BM01OM5          ,"PUMP, OIL, LOW PRESS CM3 INLET, M05     "
545BM01OM6          ,"PUMP, OIL, LOW PRESS CM3 OUTLET, M06    "
545BM01OM7          ,"PUMP, OIL CM3 REDUCTION GEARBOX, M07    "
545BM01OMB          ,"PUMP, OIL CM3 MAIN DRIVE MOTOR, M011    "
